<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.MOEX10,D,03/01/17,00:00:00,5072.4400000
RI.MOEX10,D,04/01/17,00:00:00,5006.5400000
RI.MOEX10,D,05/01/17,00:00:00,4909.6400000
RI.MOEX10,D,06/01/17,00:00:00,4885.2800000
RI.MOEX10,D,09/01/17,00:00:00,4880.6900000
RI.MOEX10,D,10/01/17,00:00:00,4960.6900000
RI.MOEX10,D,11/01/17,00:00:00,4982.1600000
RI.MOEX10,D,12/01/17,00:00:00,4945.7200000
RI.MOEX10,D,13/01/17,00:00:00,4909.9700000
RI.MOEX10,D,16/01/17,00:00:00,4900.7300000
RI.MOEX10,D,17/01/17,00:00:00,4854.9000000
RI.MOEX10,D,18/01/17,00:00:00,4843.6400000
RI.MOEX10,D,19/01/17,00:00:00,4829.7100000
RI.MOEX10,D,20/01/17,00:00:00,4828.0900000
RI.MOEX10,D,23/01/17,00:00:00,4818.7200000
RI.MOEX10,D,24/01/17,00:00:00,4867.7300000
RI.MOEX10,D,25/01/17,00:00:00,4860.5400000
RI.MOEX10,D,26/01/17,00:00:00,4969.3500000
RI.MOEX10,D,27/01/17,00:00:00,5043.6200000
RI.MOEX10,D,30/01/17,00:00:00,4994.4800000
RI.MOEX10,D,31/01/17,00:00:00,4972.4700000
RI.MOEX10,D,01/02/17,00:00:00,4973.5900000
RI.MOEX10,D,02/02/17,00:00:00,4963.7600000
RI.MOEX10,D,03/02/17,00:00:00,4983.8900000
RI.MOEX10,D,06/02/17,00:00:00,4961.9800000
RI.MOEX10,D,07/02/17,00:00:00,4970.3500000
RI.MOEX10,D,08/02/17,00:00:00,4913.6100000
RI.MOEX10,D,09/02/17,00:00:00,4875.1500000
RI.MOEX10,D,10/02/17,00:00:00,4834.7000000
RI.MOEX10,D,13/02/17,00:00:00,4780.0700000
RI.MOEX10,D,14/02/17,00:00:00,4712.9500000
RI.MOEX10,D,15/02/17,00:00:00,4725.9600000
RI.MOEX10,D,16/02/17,00:00:00,4779.0700000
