date,SBER,MOEX-10,LUKOIL
03/01/17,180.12,5072.44,3575.0
04/01/17,175.95,5006.54,3479.5
05/01/17,171.9,4909.64,3379.0
06/01/17,170.69,4885.28,3365.0
09/01/17,168.35,4880.69,3384.5
10/01/17,171.6,4960.69,3399.0
11/01/17,169.05,4982.16,3394.5
12/01/17,168.27,4945.72,3300.0
13/01/17,164.9,4909.97,3290.0
16/01/17,164.66,4900.73,3240.0
17/01/17,165.98,4854.9,3233.0
18/01/17,165.24,4843.64,3224.0
19/01/17,166.3,4829.71,3195.0
20/01/17,167.49,4828.09,3180.0
23/01/17,166.75,4818.72,3176.5
24/01/17,170.25,4867.73,3190.0
25/01/17,170.26,4860.54,3215.0
26/01/17,173.79,4969.35,3376.5
27/01/17,178.92,5043.62,3486.0
30/01/17,174.6,4994.48,3408.0
31/01/17,172.2,4972.47,3370.0
01/02/17,173.9,4973.59,3375.0
02/02/17,172.83,4963.76,3364.5
03/02/17,173.8,4983.89,3370.5
06/02/17,172.87,4961.98,3338.0
07/02/17,173.47,4970.35,3379.0
08/02/17,171.2,4913.61,3299.0
09/02/17,168.8,4875.15,3266.5
10/02/17,165.5,4834.7,3245.5
13/02/17,164.7,4780.07,3279.0
14/02/17,162.7,4712.95,3250.0
15/02/17,163.5,4725.96,3211.0
16/02/17,166.49,4779.07,3232.0
17/02/17,165.49,4747.76,3198.5
20/02/17,165.44,4698.04,3180.0
21/02/17,167.0,4705.7,3199.5
22/02/17,165.9,4665.85,3175.5
24/02/17,165.51,4612.29,3184.0
28/02/17,156.0,4451.9,3086.0
01/03/17,160.0,4544.01,3120.0
02/03/17,163.4,4505.3,3086.0
03/03/17,164.4,4492.98,3085.0
06/03/17,162.0,4449.92,3078.5
07/03/17,160.98,4389.94,3070.0
09/03/17,156.2,4278.37,2970.0
10/03/17,157.5,4276.54,3028.0
13/03/17,158.92,4326.78,3051.0
14/03/17,157.42,4316.74,3080.0
15/03/17,156.2,4298.38,3088.0
16/03/17,158.35,4341.27,3095.0
17/03/17,161.15,4420.32,3130.0
20/03/17,163.8,4433.96,3092.5
21/03/17,162.98,4418.12,3101.0
22/03/17,162.92,4427.7,3120.5
23/03/17,164.15,4422.63,3066.0
24/03/17,164.52,4422.11,3017.5
27/03/17,162.69,4359.16,3003.0
28/03/17,163.66,4411.77,3055.0
29/03/17,163.22,4438.43,3061.0
30/03/17,163.5,4436.34,2982.0
31/03/17,159.8,4365.59,2981.0
03/04/17,161.8,4413.33,3026.5
04/04/17,163.5,4440.32,3050.0
05/04/17,168.1,4494.47,3057.0
06/04/17,167.49,4489.03,3057.5
07/04/17,161.49,4384.17,2991.0
10/04/17,155.2,4269.17,2956.0
11/04/17,156.0,4292.08,2968.0
12/04/17,150.28,4228.52,2949.5
13/04/17,152.0,4224.48,2910.0
14/04/17,149.24,4170.56,2864.5
17/04/17,153.99,4252.54,2880.0
18/04/17,153.4,4185.37,2828.5
19/04/17,153.6,4193.92,2859.0
20/04/17,158.21,4224.74,2858.0
21/04/17,159.59,4247.02,2850.0
24/04/17,162.5,4353.1,2919.0
25/04/17,162.55,4403.62,2957.0
26/04/17,165.05,4431.3,2970.0
27/04/17,164.69,4386.88,2885.0
28/04/17,165.2,4428.91,2818.0
02/05/17,166.64,4436.17,2864.0
03/05/17,164.71,4374.92,2770.0
04/05/17,165.5,4357.27,2780.0
05/05/17,165.8,4366.77,2811.5
10/05/17,170.8,4416.27,2917.0
11/05/17,169.97,4376.13,2840.0
12/05/17,167.7,4349.29,2856.0
15/05/17,171.35,4334.55,2876.0
16/05/17,170.66,4299.63,2890.5
17/05/17,169.24,4313.14,2870.0
18/05/17,166.5,4253.92,2877.0
19/05/17,168.87,4203.28,2850.0
22/05/17,168.03,4167.31,2811.0
23/05/17,166.31,4214.5,2825.0
24/05/17,165.7,4205.89,2804.0
25/05/17,164.05,4163.87,2798.0
26/05/17,160.7,4143.28,2796.5
29/05/17,163.9,4146.2,2794.5
30/05/17,161.64,4135.26,2825.0
31/05/17,155.93,4038.17,2753.0
01/06/17,153.0,4025.64,2700.0
02/06/17,157.14,4051.53,2734.0
05/06/17,154.7,4051.21,2734.5
06/06/17,152.8,4048.09,2721.5
07/06/17,152.82,4049.03,2705.0
08/06/17,151.93,4030.35,2735.0
09/06/17,150.13,4069.52,2774.0
13/06/17,146.0,4065.83,2760.5
14/06/17,143.0,4005.81,2730.0
15/06/17,139.0,3949.83,2712.0
16/06/17,141.63,3974.07,2685.0
19/06/17,145.0,4020.29,2779.5
20/06/17,144.9,4023.53,2769.0
21/06/17,143.49,4005.48,2728.5
22/06/17,144.25,4030.5,2760.5
23/06/17,144.1,4061.75,2775.0
26/06/17,144.49,4045.43,2767.0
27/06/17,147.1,4100.26,2800.0
28/06/17,145.5,4132.62,2874.5
29/06/17,143.8,4106.0,2873.0
30/06/17,145.59,4099.36,2872.5
03/07/17,147.5,4153.3,2920.0
04/07/17,149.39,4180.86,2933.0
05/07/17,148.96,4202.26,2951.5
06/07/17,150.35,4211.75,2985.0
07/07/17,152.16,4204.92,2856.0
10/07/17,155.0,4251.44,2859.0
11/07/17,156.91,4283.5,2875.0
12/07/17,160.85,4321.85,2914.5
13/07/17,159.94,4316.08,2908.5
14/07/17,161.4,4305.58,2923.0
17/07/17,161.98,4306.77,2880.0
18/07/17,161.7,4268.39,2840.0
19/07/17,164.34,4269.55,2896.0
20/07/17,163.93,4226.15,2896.0
21/07/17,162.1,4182.75,2842.0
24/07/17,161.33,4189.13,2826.5
25/07/17,160.22,4174.21,2835.0
26/07/17,161.55,4192.17,2833.0
27/07/17,166.0,4213.31,2851.5
28/07/17,165.4,4161.86,2794.0
31/07/17,164.53,4196.57,2797.5
01/08/17,166.31,4237.71,2864.5
02/08/17,169.9,4292.29,2938.0
03/08/17,170.0,4286.24,2930.0
04/08/17,169.73,4277.28,2903.0
07/08/17,172.79,4309.04,2917.5
08/08/17,175.75,4347.77,2974.0
09/08/17,173.4,4336.24,2939.0
10/08/17,172.2,4290.59,2901.5
11/08/17,172.05,4241.79,2860.0
14/08/17,172.51,4264.33,2883.5
15/08/17,172.33,4255.84,2874.0
16/08/17,173.05,4225.06,2846.5
17/08/17,172.72,4216.64,2841.0
18/08/17,169.5,4181.81,2829.0
